CATMA,ATG
CATMA1a00010,AT1G01010
CATMA1a00020,AT1G01020
CATMA1a00030,AT1G01030
CATMA1a00035,AT1G01040
CATMA1a00040,AT1G01050
CATMA1a00045,AT1G01060
CATMA1a00050,AT1G01070
CATMA1a00060,AT1G01080
CATMA1a00070,AT1G01090
CATMA1a00080,AT1G01100
CATMA1a00090,AT1G01110
CATMA1a00100,AT1G01110
CATMA1a00110,AT1G01120
CATMA1a00130,AT1G01140
CATMA1a00140,AT1G01150
CATMA1a00150,AT1G01160
CATMA1a00160,AT1G01170
CATMA1a00170,AT1G01180
CATMA1a00180,AT1G01190
CATMA1a00190,AT1G01200
CATMA1a00210,AT1G01220
CATMA1a00220,AT1G01225
CATMA1a00230,AT1G01230
CATMA1a00240,AT1G01240
CATMA1a00250,AT1G01250
CATMA1a00260,AT1G01260
CATMA1a00270,AT1G01280
CATMA1a00275,AT1G01290
CATMA1a00280,AT1G01300
CATMA1a00290,AT1G01305
CATMA1a00300,AT1G01310
CATMA1a00310,AT1G01320
CATMA1a00320,AT1G01340
CATMA1a00340,AT1G01355
CATMA1a00350,AT1G01360
CATMA1a00360,AT1G01370
CATMA1a00370,AT1G01380
CATMA1a00380,AT1G01390
CATMA1a00390,AT1G01400
CATMA1a00400,AT1G01410
CATMA1a00410,AT1G01420
CATMA1a00420,AT1G01430
CATMA1a00430,AT1G01440
CATMA1a00433,AT1G01450
CATMA1a00436,AT1G01450
CATMA1a00440,AT1G01453
CATMA1a00450,AT1G01460
CATMA1a00460,AT1G01470
CATMA1a00465,AT1G01480
CATMA1a00470,AT1G01490
CATMA1a00480,AT1G01500
CATMA1a00490,AT1G01510
CATMA1a00500,AT1G01520
CATMA1a00520,AT1G01540
CATMA1a00530,AT1G01550
CATMA1a00550,AT1G01570
CATMA1a00560,AT1G01580
CATMA1a00580,AT1G01600
CATMA1a00590,AT1G01610
CATMA1a00600,AT1G01630
CATMA1a00610,AT1G01640
CATMA1a00620,AT1G01650
CATMA1a00640,AT1G01660
CATMA1a00650,AT1G01670
CATMA1a00660,AT1G01680
CATMA1a00670,AT1G01690
CATMA1a00680,AT1G01695
CATMA1a00700,AT1G01700
CATMA1a00710,AT1G01710
CATMA1a00720,AT1G01710
CATMA1a00725,AT1G01720
CATMA1a00730,AT1G01725
CATMA1a00740,AT1G01730
CATMA1a00750,AT1G01740
CATMA1a00760,AT1G01750
CATMA1a00770,AT1G01760
CATMA1a00780,AT1G01770
CATMA1a00790,AT1G01780
CATMA1a00800,AT1G01790
CATMA1a00820,AT1G01800
CATMA1a00830,AT1G01810
CATMA1a00840,AT1G01820
CATMA1a00850,AT1G01830
CATMA1a00860,AT1G01830
CATMA1a00870,AT1G01840
CATMA1a00875,AT1G01860
CATMA1a00880,AT1G01880
CATMA1a00890,AT1G01900
CATMA1a00900,AT1G01910
CATMA1a00910,AT1G01920
CATMA1a00920,AT1G01930
CATMA1a00930,AT1G01940
CATMA1a00940,AT1G01950
CATMA1a00950,AT1G01960
CATMA1a00960,AT1G01970
CATMA1a00970,AT1G01980
CATMA5A35200,AT5G39610
