"","Infected_tp12_rep1","Infected_tp12_rep2","Infected_tp12_rep3","Infected_tp15_rep1","Infected_tp15_rep2","Infected_tp15_rep3","Infected_tp18_rep1","Infected_tp18_rep2","Infected_tp18_rep3","Infected_tp21_rep1","Infected_tp21_rep2","Infected_tp21_rep3","Infected_tp24_rep1","Infected_tp24_rep2","Infected_tp24_rep3","Infected_tp27_rep1","Infected_tp27_rep2","Infected_tp27_rep3","Infected_tp30_rep1","Infected_tp30_rep2","Infected_tp30_rep3","Infected_tp33_rep1","Infected_tp33_rep2","Infected_tp33_rep3","Infected_tp36_rep1","Infected_tp36_rep2","Infected_tp36_rep3","Infected_tp39_rep1","Infected_tp39_rep2","Infected_tp39_rep3","Infected_tp42_rep1","Infected_tp42_rep2","Infected_tp42_rep3","Infected_tp45_rep1","Infected_tp45_rep2","Infected_tp45_rep3","Infected_tp48_rep1","Infected_tp48_rep2","Infected_tp48_rep3","Infected_tp51_rep1","Infected_tp51_rep2","Infected_tp51_rep3","Infected_tp54_rep1","Infected_tp54_rep2","Infected_tp54_rep3","Infected_tp9_rep1","Infected_tp9_rep2","Infected_tp9_rep3","Mock_tp12_rep1","Mock_tp12_rep2","Mock_tp12_rep3","Mock_tp15_rep1","Mock_tp15_rep2","Mock_tp15_rep3","Mock_tp18_rep1","Mock_tp18_rep2","Mock_tp18_rep3","Mock_tp21_rep1","Mock_tp21_rep2","Mock_tp21_rep3","Mock_tp24_rep1","Mock_tp24_rep2","Mock_tp24_rep3","Mock_tp27_rep1","Mock_tp27_rep2","Mock_tp27_rep3","Mock_tp30_rep1","Mock_tp30_rep2","Mock_tp30_rep3","Mock_tp33_rep1","Mock_tp33_rep2","Mock_tp33_rep3","Mock_tp36_rep1","Mock_tp36_rep2","Mock_tp36_rep3","Mock_tp39_rep1","Mock_tp39_rep2","Mock_tp39_rep3","Mock_tp42_rep1","Mock_tp42_rep2","Mock_tp42_rep3","Mock_tp45_rep1","Mock_tp45_rep2","Mock_tp45_rep3","Mock_tp48_rep1","Mock_tp48_rep2","Mock_tp48_rep3","Mock_tp51_rep1","Mock_tp51_rep2","Mock_tp51_rep3","Mock_tp54_rep1","Mock_tp54_rep2","Mock_tp54_rep3","Mock_tp9_rep1","Mock_tp9_rep2","Mock_tp9_rep3"
"Lsat_1_v5_gn_0_11100",111.523863635644,144.647162571884,116.133898743605,66.5009731544302,81.6063385755017,108.692495217439,111.406819263786,106.442370294481,59.6537327608095,158.348460429949,95.5899321971584,48.9822337069418,154.822318596314,223.585443443086,167.02432359927,174.341408653647,167.702145607035,188.106376057093,63.17391526984,102.09625519577,94.2356810653659,31.4111043780734,41.0166234476072,28.090254065776,42.8132026984355,40.5372497467787,16.8450485570604,31.4892045350626,34.1441415674439,36.020114807705,56.107399696367,63.0092873859976,89.0266023116413,60.906440092875,105.649150324418,76.4901775976605,82.7310040064446,112.675466914715,175.35639787933,97.9971012589547,93.0603113353802,65.7599195109869,78.511127041239,93.4687703127673,61.420353487966,167.734104616411,181.984214090459,196.899476132285,86.8635540838361,87.7407499250317,148.633554458823,139.673960682067,131.370855395032,148.449500172035,153.164115567096,92.334582082241,104.782025626438,130.095981925916,121.833429101407,110.070054578109,288.482546785321,316.620388279518,192.870098038829,277.956178322091,394.188690470072,199.684592966933,243.245780169571,288.218298850163,180.19606646367,171.299322209757,140.454208043385,280.331767659988,159.372631717794,151.40741128891,140.399539894546,115.566238129488,177.113026721964,133.02133223462,100.978385297451,103.387297691962,77.6907324808876,162.265194751258,221.408335674171,123.403486855951,398.806042400162,279.713707738043,176.432337322115,314.225477307464,242.037101879213,199.740012206537,169.553188504951,261.2964381049,155.315989904793,145.493359363184,165.404098768423,212.616310980777
"Lsat_1_v5_gn_0_11160",639.171143461785,659.678726274804,602.11200601974,565.258271812656,658.993121184965,538.027851326326,689.753524485354,637.458240078185,725.787081923183,911.152616572328,829.83144037823,595.623961876413,939.489978754907,890.042053706131,698.409116087318,919.650930647988,906.687280877239,792.824189019155,904.740715114495,787.045815369923,860.087565279133,726.552501266742,730.841654157364,787.353297784839,910.029471310932,857.424252219744,656.114641297502,714.093896391904,916.895118676968,660.368771474592,771.741403370784,962.641890619408,901.551085381269,771.291834820987,797.547507351001,847.948254511208,850.771071051348,741.651532226312,763.451216968088,892.473600751194,1041.94312870149,746.965239573518,903.647677906025,780.590541260678,777.203703751569,427.872626147251,689.742638589766,635.159600426725,655.286460632448,671.965743328292,744.506813325278,609.909628311692,616.607714339686,786.985706391475,734.546229630678,807.703480156302,777.89264677019,906.058540789007,797.557725691616,879.559799765074,954.5378386279,918.199126010603,824.241209248005,915.969470200202,1099.48322434191,1081.31090908509,987.61037249249,1017.41812022303,996.428605053261,825.173306416142,566.047380608582,596.27945662104,965.028763091195,806.741509645456,772.197469420001,922.846901567995,579.228010137925,659.838489599453,865.402477505351,777.43193460524,737.570245071718,980.423387233919,839.318333703616,787.431773271304,1155.86158051572,903.399677694489,728.944130515054,1122.73822228959,1032.69163468464,809.756806242718,1145.5953260784,639.074420907164,708.166953970661,646.530093594015,557.853575349403,487.551195869714
"Lsat_1_v5_gn_0_11181",1534.15014913783,1958.21575390876,553.905482012961,2158.03767760901,1383.79780573727,697.44351097857,2878.17095680616,1770.05289927901,1900.21994565162,1752.2165703314,2237.35855794798,1908.34782522245,1801.56879821166,1980.02109049118,2049.45031142363,2231.57003076668,1348.00871668523,1180.39907123075,1513.91775521652,1262.63343450971,1522.7289416594,1435.35090005892,794.230981303666,748.522652458619,751.720186914391,592.089526604465,515.458485846047,1567.34976121296,777.820200585185,522.837424026991,1045.92662075492,899.63260323341,764.876442395791,650.048173701526,687.06473576991,606.822075608106,608.752014554883,498.550353608946,485.484525133167,575.732969896359,837.542802018422,445.144070535912,606.53694224016,401.663094046757,403.956940247776,1468.42671227061,1291.11434194219,1348.84802417894,1968.14526489955,2127.89152053959,1659.74135812353,1671.4317294954,1020.59207890707,723.945507688282,1968.68012417393,1249.65444099654,1342.80443710403,1585.14111311152,1007.38196469959,679.432427804875,874.993018742241,775.174054063648,643.095737229774,1162.27227590198,778.674274713188,1083.19472599987,600.800824516825,813.482979261164,455.412386502006,595.142788020183,762.344827994518,471.04928172375,600.120392537349,594.159386724663,837.868221951321,827.476705053369,1216.98693468611,920.612982495046,1111.64801358159,1207.19874069732,730.686256117715,532.059033315968,722.965994038108,740.420921135704,618.862860523038,788.742256955021,826.446211666749,677.879681382395,731.489907901623,583.024900494757,713.774471459047,444.676167256832,433.590471817546,1716.0508147406,1132.14482511057,1668.85475127584
"Lsat_1_v5_gn_0_12501",38.3363281247526,108.485371928913,268.579205180627,42.9823363071317,103.543526364615,131.336765054406,138.531957867143,148.301729399052,106.879604529784,116.814438022093,23.5511427152419,109.72020350355,44.5700614140905,49.4467807614517,55.0561659271668,21.7926760817059,127.526676967963,171.694410360836,60.9177040102029,270.102751087543,112.185334601626,39.6053055201796,67.1181110960845,119.796671751103,92.5959965338257,207.599854763806,160.870213719927,58.9152859043107,139.074918091784,189.924241713354,179.967131101555,483.071203292648,473.972615123949,204.918863863878,473.004365831546,472.053667459847,221.02760771871,428.321124230596,395.126206575259,148.745600125199,222.680030695374,510.903990046899,247.848852032147,303.141957771137,444.116402143754,71.3121043578752,47.9299987727959,117.793234988229,53.3372700514783,144.807904347817,119.174651773291,144.329759371469,218.698302622943,91.5099658594738,246.987160181494,190.047877683836,118.449246360322,231.589301158901,205.311889782,279.177683884477,170.756213354547,280.591171682194,328.28952857673,145.407680474546,363.866483510836,191.52138633621,308.797538299901,225.75845862937,138.678207919784,186.960974526077,229.295725179261,217.142229867777,174.760334090547,136.878417276338,169.838153098241,166.056342166642,154.308774354329,209.409820052521,273.704570674671,366.923546710687,346.166301686993,276.704858417935,260.94553847313,413.023915191345,371.76834461032,391.851185164555,294.363425953213,239.376262488158,290.444522255056,341.89731819137,239.406562046317,416.342818546662,305.084980170128,54.9213343291488,132.528749944886,72.3995196874199
"Lsat_1_v5_gn_0_12601",444.004382099408,585.163521313531,747.201122105079,461.451874693546,320.282941721055,504.514331967615,1215.78746240045,1557.16815869005,872.43584162684,1147.37736901701,213.345645773368,213.562538962266,323.719393428657,266.582644105218,426.2213294811,213.568225600718,518.628776977111,767.575011024915,225.621125963714,555.713794103558,347.026635034363,88.7705123728163,93.2195987445618,199.936514232876,205.105110601807,251.822309033019,727.706097665008,105.641202311178,248.16961431947,517.379830874308,995.112371973302,1849.43926864456,2068.92808189025,1209.59051586317,1668.98036819686,1924.63856393351,1279.24358433846,2224.95459667893,1716.80805260025,470.736075690336,425.418566104595,2119.49279039258,586.524302013962,1568.75963146564,1289.82742324728,422.850646967119,445.599207340837,556.630777101239,307.070283296368,417.303566716614,452.595868532273,686.730306686829,774.556488456256,712.760956305457,1967.07631144547,1687.12314057066,1263.07898282305,2505.03965197775,2081.32108048236,2535.61380273572,2621.7972634313,2539.51387289021,2444.58452529458,2057.9638042673,2235.95954117409,1733.73950057139,1903.16798604834,1544.94038522032,512.338934814757,695.964674806497,1147.32473558332,927.162854514796,600.120392537349,681.333350800096,392.89226083393,682.738406813526,507.014544307081,611.107902543206,2561.66219544061,2029.22911744419,1915.71578319961,1939.49609094794,2356.41728681796,1926.60545805719,2764.60459901129,2697.59931651869,2332.62121764817,2244.77031991108,2043.86886031336,1576.32658281916,1364.04587606231,1186.06545850628,1503.23690229281,306.403233625778,944.138924025969,465.556405078599
"Lsat_1_v5_gn_0_15201",497.675241474062,595.025827852523,348.714725607481,569.313209200121,381.707067530572,443.827688804545,541.534017117012,404.241810781288,331.823888482003,355.635066867262,234.126065816229,158.702437210492,233.406374247474,202.08684311202,257.34118006406,293.474704566972,266.923378761107,306.777512630024,239.158393521537,178.345357177421,267.748998582548,154.324121509665,123.049870342822,199.936514232876,218.048636999009,206.371453256328,248.464466216641,192.99835037619,285.644891649591,244.500173240179,265.716175920531,341.883726001802,363.629784089802,286.317190343141,312.804347038964,339.470692957236,239.549474287317,331.08065278365,438.773868929503,204.743943701745,192.767787766145,202.33821387996,217.060174761072,462.291485600984,271.666948119849,450.973730375859,645.557170971095,505.240591248531,534.134661515519,507.897674362785,535.616412464229,439.972976148511,560.414400471291,714.794511102334,438.64278123142,432.089986054759,403.183011649557,526.842593473038,419.648478015956,472.300597826069,540.904775222477,455.2782824571,444.949557481676,525.248151918258,535.490174900113,553.842172946023,470.239058323358,578.694182286619,614.635514113609,489.426634885019,628.6594974472,600.875059369564,404.476748083781,557.454559745533,503.853187524781,527.902087766251,662.083460406998,536.036457618718,496.919948700616,512.88208462875,337.315458746132,448.364353917951,769.281003031174,520.477291501289,594.829351376513,574.547075353817,649.08528309557,550.071116455089,640.05366941392,493.051922023344,454.681958687435,361.250196054666,417.873972839085,583.900501815161,476.692557941294,610.355444453438
"Lsat_1_v5_gn_0_15220",206.319147725941,201.629378130505,164.496937438718,125.703059011423,169.355089731955,133.148306641363,217.001108826853,179.397253305305,159.076620695492,202.478359238295,166.243360342884,96.005178065606,163.032593067331,193.487402979594,196.717536683585,145.284507211372,174.702416657783,146.445232366596,87.9922391258486,116.312189463535,133.126597060596,111.987415608784,145.422574041516,139.625086385769,101.556899424196,120.383347732858,151.605437013543,124.941037348797,154.897812964501,134.256791555991,102.687127746181,128.352252082588,134.166851371065,167.919624555123,156.056914858291,206.159240572742,162.992425803742,210.68768813505,215.175317921798,106.74684244279,152.884797193839,134.89214258664,116.996973630082,138.940063978438,134.652313415925,165.725312944358,214.936088246757,200.941400862273,153.916122148552,181.901554722627,207.551359829889,162.952954129078,190.601645688745,160.650828953298,153.966021931321,165.843666846744,109.337765871066,251.887965005498,233.514072444363,197.125461380796,232.270874066122,267.489638374076,226.285282197532,214.649433081473,225.597219776718,272.525513671852,194.488274122218,219.73823306592,185.760315546871,197.728360493548,214.911860500119,171.186202382534,140.68756455088,180.465399314055,160.780118266335,162.129334074864,210.559263527828,172.532619036983,214.357624929678,185.488975270872,174.066577836925,230.587382014946,219.149066942801,185.524970035137,250.098704556034,267.113991173266,281.36314846632,189.241411052585,215.144090559301,217.73460790082,217.180488646792,217.222340111302,209.861486359452,148.383955906823,195.197383639754,212.616310980777
"Lsat_1_v5_gn_0_15241",1863.14554686298,1804.80209663555,2041.2645652481,2797.90679735102,2155.98681591406,2146.67678054443,2830.70196425029,2484.05396743413,4328.62398345624,4181.95688119094,5455.55294191898,8495.47861413199,5443.41197428405,6404.43303862455,6463.84132329175,5779.4176968684,3991.67629698053,3308.90477614523,6218.11823155997,4430.20206089999,3398.46773619859,6435.179296934,3810.81719667768,3302.2572206149,3754.61831106512,2933.42279985781,2134.26765217955,4051.94957710854,2361.77525573831,2234.33863670825,3483.95193208951,2920.59715420652,2448.85851147374,2731.68229911876,3353.84263480849,2330.40074414206,2696.78377238918,2382.39155045018,2082.83581760602,4880.6056323433,5257.90759044898,4043.39197403453,3516.06694435666,1606.65237618703,2619.81430839055,2339.23790210551,1617.63745858186,1608.68604253532,1994.81389992529,2287.67955292339,1865.95367692226,2586.29617196294,1857.41683408235,1369.59915569679,2597.37471372682,2116.52376986574,2030.72121404282,2262.37835235707,1621.06145943261,1484.94509994468,1407.41301317691,1472.83070272093,1555.27164163226,1604.43032469193,1548.25188733861,1434.21261112099,1668.04845688666,1897.87610887757,1733.04957983705,1433.04118694334,1559.38015315638,1346.51160531765,1490.40888696089,1359.6079660186,1570.43678898173,1640.92838120753,1641.90617046971,1646.3036167651,1830.0117896889,1989.69868009138,1780.98628509984,1240.90172617673,1572.45103703288,1746.956844539,1444.26369027403,1685.84207636712,1586.96244464997,1432.02082692031,1398.43658863545,1660.90118258229,1460.5705376831,1491.43599460477,1484.74690349462,2189.14511571625,1797.87063878721,1841.14727913958
"Lsat_1_v5_gn_0_15420",6207.69705961904,7517.26920638731,5861.00553403203,8904.6425028737,7449.8689731829,5765.23110049169,12931.9098291503,6617.36668358836,7687.87480954933,10841.6777866505,8777.64942610429,13468.1549800607,10147.8992461766,9646.4219685493,9220.36127128563,8169.34784049547,8979.21724083259,10825.5850650307,10220.6370061563,8594.17844369456,10877.4900429737,11060.8058416529,11231.0972567448,10700.7344311744,10616.6786133353,8041.11626795192,8716.47037585089,16393.6861932702,11715.6044773366,8504.02165050999,10468.7938791957,5360.45678243098,5976.06741714482,9900.42721995677,6144.9136518758,3853.64799515832,8946.06155263718,3050.72685420459,4301.97486151125,7775.02001595599,4933.858292049,3883.2075547129,7744.89176753869,3842.32431474916,3963.9751212618,7744.89629159966,4942.03221721375,5551.29490772957,6261.79550404355,8993.07019760061,7072.14520607456,11823.400771737,8870.94990014312,4711.74646436446,9069.56097939189,6346.88195283754,6192.38992751028,8656.45746403509,6395.12694051736,6247.97655259741,7188.73052246656,7610.89905757421,5353.46424100482,8245.70356759059,8599.9843377786,7439.19299647566,8430.17279558729,6117.3017006605,5219.69365920297,6854.90944819958,6658.88323675567,5009.20699589159,8591.83353198619,6148.82320289963,8172.61192708735,11853.393424456,9613.51265644925,7482.12067747404,7366.1074748562,5053.81437541294,3635.72959470685,7171.26758066483,5002.02097125116,5316.42368883494,7838.67921757154,5037.36668259772,4129.44528458655,7052.06706038123,5841.16205868502,4430.26945993238,5798.46503460192,6430.09608228021,4383.05421511084,4890.88935183789,7326.06601439519,7104.31742553011
"Lsat_1_v5_gn_0_15460",456.550816758418,335.318422325731,291.899893742349,300.065366672429,266.756203515618,255.427363760983,322.59539838992,337.266836213974,311.939310895067,272.567022051551,170.399444351456,144.987411772548,216.98582530544,165.539222549208,200.429188319124,196.134084735353,261.44490576487,258.804074440966,250.439449819723,236.501451909189,276.723825350678,223.974831217567,279.658796233685,253.638470535095,320.601192299912,253.050710540497,272.047534196525,283.402840815564,210.694336989349,275.062694895202,253.012613725127,261.37185878636,292.157723079048,227.687626515421,227.870716386,312.517011327584,203.740532254677,270.112420685962,323.145851113875,209.993788412046,217.694656873836,202.33821387996,274.01922771256,305.668140752563,245.681413951864,514.250668045523,346.743584871945,348.760362416129,458.700522442714,365.943127736108,293.249985824165,453.940372216717,352.347265336963,262.328568797158,410.576058483523,346.927021998323,530.743738499134,324.77862154555,330.52958080289,312.19870025791,362.724378678602,405.055738109315,303.667813933476,487.659771931641,390.550025634964,386.810406501984,521.163564639482,561.386033791701,346.267500639213,343.577497689283,345.212752299404,353.861411636378,396.782896897405,350.22522409253,394.024515187919,350.625722480241,301.01613125278,305.553951271603,375.568731281749,336.515517977757,334.365177765845,266.456530328382,279.019688324082,288.780948832973,271.128025059244,395.631100133988,350.078900897039,370.009326087891,441.045385646567,331.1005607748,405.149566539922,502.129902141343,432.665971877636,427.808288458633,467.446366084674,455.475459299338
