"","Control_T09_Rep1","Control_T09_Rep3","Control_T09_Rep4","Control_T12_Rep1","Control_T12_Rep3","Control_T12_Rep4","Control_T15_Rep1","Control_T15_Rep3","Control_T15_Rep4","Control_T18_Rep1","Control_T18_Rep3","Control_T18_Rep4","Control_T21_Rep1","Control_T21_Rep3","Control_T21_Rep4","Control_T24_Rep1","Control_T24_Rep3","Control_T24_Rep4","Control_T27_Rep1","Control_T27_Rep3","Control_T27_Rep4","Control_T30_Rep1","Control_T30_Rep3","Control_T30_Rep4","Control_T33_Rep1","Control_T33_Rep3","Control_T33_Rep4","Control_T36_Rep1","Control_T36_Rep4","Control_T39_Rep1","Control_T39_Rep4","Control_T42_Rep1","Control_T42_Rep3","Control_T42_Rep4","Infected_T09_Rep1","Infected_T09_Rep3","Infected_T09_Rep4","Infected_T12_Rep1","Infected_T12_Rep3","Infected_T12_Rep4","Infected_T15_Rep1","Infected_T15_Rep3","Infected_T15_Rep4","Infected_T18_Rep1","Infected_T18_Rep3","Infected_T18_Rep4","Infected_T21_Rep1","Infected_T21_Rep3","Infected_T21_Rep4","Infected_T24_Rep1","Infected_T24_Rep3","Infected_T24_Rep4","Infected_T27_Rep1","Infected_T27_Rep3","Infected_T27_Rep4","Infected_T30_Rep1","Infected_T30_Rep3","Infected_T30_Rep4","Infected_T33_Rep1","Infected_T33_Rep3","Infected_T33_Rep4","Infected_T36_Rep1","Infected_T36_Rep3","Infected_T36_Rep4","Infected_T39_Rep1","Infected_T39_Rep3","Infected_T39_Rep4","Infected_T42_Rep1","Infected_T42_Rep3","Infected_T42_Rep4"
"Lsat_1_v5_gn_0_11061",3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663
"Lsat_1_v5_gn_0_11100",7.46422887704821,7.0919893252118,7.31858400866223,7.2441797794998,6.91050442176758,7.26205282405214,7.64171157665593,7.54512213472679,7.270494908512,8.19929185096858,8.39610081481069,8.5383561821045,8.49542146984737,7.61971482028083,8.65814768421547,8.49123813392872,8.49522453156973,8.25596200791678,8.42169441931428,8.41516484403631,7.70474695986953,8.13272436857412,7.67041705479935,7.43215322966162,6.94565443189238,7.38098487984159,7.68555732265109,7.79255369110294,8.24442388250506,7.64133984766609,7.37196867785915,8.55124903371209,8.38364469907217,8.2189059440637,7.34739257234034,7.14433904226863,7.12430686267813,7.21335071407383,6.85971191249041,6.70268607362429,7.72639208807496,7.87563359318854,7.70534883459379,8.13542521905403,8.18779689565018,8.90686684649691,8.58157937983988,7.67741810457695,8.18373288287474,8.46476360503548,8.48039118243909,8.55223080579161,8.08124562779525,8.10890140223732,7.92480277174189,7.54549117260185,7.68552355571445,7.29207864903339,7.37456198030165,7.36398553249781,7.29113455777967,7.41539294031749,7.77001117107428,7.32950242488731,6.70454597769535,7.05022779062239,7.2451280916631,7.89705859564691,7.25193370625909,7.24687658692127
"Lsat_1_v5_gn_0_11160",9.75874202913191,9.86366096373788,9.87207214903091,9.74676817796657,9.72373756941864,9.73196300995218,9.7968448131432,9.71255952630193,9.65597003485142,9.72526362577253,9.59829693829959,9.71400356182957,9.87979183321379,10.0654742872642,9.73001232716887,9.23113067664403,9.49780894541871,9.22585205988217,9.26705430512079,9.27136862349828,9.63114204584684,9.29863940708042,9.51646498089912,9.69696742251024,9.4636319178855,9.81886040285016,9.52344445099281,9.57781040525833,9.42226141472423,9.57591220865792,9.67925824970418,9.75327005951346,9.87266356610696,9.77397694207564,9.4793690396725,9.54023884695583,9.98913173624718,9.51950231464987,9.55365365714021,9.91259696426922,9.88065002941718,9.70676246561583,10.0188509212093,10.0094073462045,9.8938736446251,10.0582490769538,9.74912451799521,10.113173728933,10.1111430553745,9.50376590725272,9.45862901233115,9.7503014547784,9.84441049684419,9.62745235036829,9.82845483304714,9.88939894543268,9.77333950049006,9.81180842441268,9.61357448855425,9.82740318540585,10.050296297433,10.0733820257172,9.77266962063436,9.87260353913624,9.60143782355974,10.0402758478138,10.0156546436671,9.71520146197273,9.40501455777476,9.81875361671487
"Lsat_1_v5_gn_0_11181",10.3831715251824,9.75923604248289,9.92949066632439,10.4313845454462,10.6742745783287,10.1830683291676,10.2546781299066,10.275592169142,9.69129283659514,9.85718907576233,10.3720682942272,10.0951791406611,9.68318388931197,10.1542868907699,9.49820764447976,9.01104500744117,9.80735364680265,9.08419486167377,8.81060856543029,9.42225031485404,9.00259374852605,8.94765626518953,9.16808225456668,9.53503992401344,10.196163612016,9.94733334142614,9.28949168583497,9.96908986182173,9.98396168191767,9.84589609995411,10.0810624398944,9.89840292564419,10.1210106453694,9.8447659161714,9.69018445751378,9.76266563913888,10.3583360993028,10.4827290833749,10.1963222510924,10.9770667245398,10.3944782782375,9.84349619771754,10.3822027979002,10.2831658032538,10.1814579351876,10.2434360815169,9.89879191782401,10.6994420097266,9.83919724457892,9.67615429936886,9.23240213552531,9.43458839847067,9.65689341680776,9.413207664622,9.8236797845035,9.7334782462938,9.00724193365047,9.02774074468553,9.48009453429441,9.62812286737081,10.059801729668,10.2710550761714,9.78420662409894,10.1510135511172,10.4536510497874,10.3156267667551,9.87492100186038,9.89924248854543,10.8399357749389,10.5432252760887
"Lsat_1_v5_gn_0_12461",3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663
"Lsat_1_v5_gn_0_12501",7.40563224676451,6.83609100499768,7.1550780867388,6.88696731705423,6.94632913660668,7.39717794435609,7.35367798276346,7.64259492594832,7.53532804551776,7.56728930633346,7.70501087174877,7.50397325899991,7.77265518913908,7.37993720049391,7.11258052779476,7.78565168675783,7.82442160611634,7.65497416255154,8.0811361439801,6.52467629856248,7.82440850375454,7.57376405483802,7.38002203462461,7.14489819894681,7.5280517487016,7.38965989342561,6.78490854058979,8.12324613379193,7.15567419391027,7.62676984872381,7.50560298604887,8.19354613583659,8.39227090885052,7.47269600735934,6.30200836791374,6.31852498966992,6.99352257703447,7.22308762077834,7.29795668809659,7.52899953940062,7.70574158980859,7.64925117294856,6.88584888844138,7.1247548367949,7.27003986880315,7.55916125987967,8.14943048878765,7.13368222751312,7.3261092560894,7.62822129765157,7.23400644597312,6.68937760472471,7.94122882166604,7.08196113588794,7.83256359274178,7.51411480793834,7.20527730167688,7.36434723602354,6.44446794703588,8.03424278830605,7.37217828392289,7.51386623360389,7.17778244431999,7.45895151484142,7.23588861839126,7.254403102273,7.35565791474643,6.37530726877005,6.03241935940194,6.42792954060354
"Lsat_1_v5_gn_0_12521",3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663
"Lsat_1_v5_gn_0_12581",3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663
"Lsat_1_v5_gn_0_12601",9.46807851862235,9.48880878962154,9.52521709381945,10.5575266630926,10.4521780055305,10.3789717035051,10.9994146193589,11.0276274690259,10.6216244208365,11.1650502326846,10.8721893370839,10.8167600616504,11.1126485551882,10.5418350829898,10.9451256049756,10.2958085667393,10.2632872021328,10.2768502675666,10.2613116783163,9.08697056548049,10.0389178280163,9.57313644275784,9.08543685584895,9.08370804547698,9.94121445890473,9.64570854779504,9.19650144001184,10.6851795438077,10.3152954826295,10.8899219498975,10.299648372964,11.2777930372754,11.138397493827,10.8518311477114,9.37864456081068,8.81775702989753,9.37245301602252,10.0873814793662,10.4285107008183,10.4493409035535,10.5314944224308,10.6341658782035,10.6677695018731,10.841604082331,10.9036829399717,10.8331462922769,10.6988000286157,10.6758126286675,10.4220748867026,10.188123958181,10.1306125813166,9.57003412478396,9.8222614638574,9.29857847470557,9.02958461700887,9.2874562824506,9.08114139898062,8.68533129952129,8.60741956244066,9.60232192670764,9.42588490981417,9.97057934192086,9.90688089848199,10.0992017065558,10.1671077309821,10.3156267667551,9.45001880603388,9.806927487481,8.27975711294083,7.78368772628274
"Lsat_1_v5_gn_0_13400",3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,4.02646307466996,3.84579990868594,3.40401268267663,3.84597314401762,3.40401268267663,3.84581651625634,3.40401268267663,3.84566222131333,3.40401268267663,3.40401268267663,3.84576062853255,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.8456231323372,3.84582409613192,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,4.02642234233676,3.40401268267663,4.16421099893808,3.84587260908865,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.84586333194505,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.40401268267663,3.84569703487698,4.02668952305365,4.16357899674242,4.16379244689526,4.16336293518623,4.75696238172173,4.02667288479714,4.27809094942138,4.46667623820498,3.84614098714397,4.27877287102899,4.37778328520091,4.02664768969712,4.16373458587463,4.27879028496151,4.37822629422421,4.81902918515677,4.98447995852623,4.54820164271346,4.93273485579221,5.44620150374702,5.6749429565125
