"","Control_T09_Rep1","Control_T09_Rep3","Control_T09_Rep4","Control_T12_Rep1","Control_T12_Rep3","Control_T12_Rep4","Control_T15_Rep1","Control_T15_Rep3","Control_T15_Rep4","Control_T18_Rep1","Control_T18_Rep3","Control_T18_Rep4","Control_T21_Rep1","Control_T21_Rep3","Control_T21_Rep4","Control_T24_Rep1","Control_T24_Rep3","Control_T24_Rep4","Control_T27_Rep1","Control_T27_Rep3","Control_T27_Rep4","Control_T30_Rep1","Control_T30_Rep3","Control_T30_Rep4","Control_T33_Rep1","Control_T33_Rep3","Control_T33_Rep4","Control_T36_Rep1","Control_T36_Rep4","Control_T39_Rep1","Control_T39_Rep4","Control_T42_Rep1","Control_T42_Rep3","Control_T42_Rep4","Infected_T09_Rep1","Infected_T09_Rep3","Infected_T09_Rep4","Infected_T12_Rep1","Infected_T12_Rep3","Infected_T12_Rep4","Infected_T15_Rep1","Infected_T15_Rep3","Infected_T15_Rep4","Infected_T18_Rep1","Infected_T18_Rep3","Infected_T18_Rep4","Infected_T21_Rep1","Infected_T21_Rep3","Infected_T21_Rep4","Infected_T24_Rep1","Infected_T24_Rep3","Infected_T24_Rep4","Infected_T27_Rep1","Infected_T27_Rep3","Infected_T27_Rep4","Infected_T30_Rep1","Infected_T30_Rep3","Infected_T30_Rep4","Infected_T33_Rep1","Infected_T33_Rep3","Infected_T33_Rep4","Infected_T36_Rep1","Infected_T36_Rep3","Infected_T36_Rep4","Infected_T39_Rep1","Infected_T39_Rep3","Infected_T39_Rep4","Infected_T42_Rep1","Infected_T42_Rep3","Infected_T42_Rep4"
"Lsat_1_v5_gn_0_11100",156.503060333279,116.191209273902,139.510510725807,131.392936828165,100.591608162762,133.75606109591,179.598330867626,166.641449229821,134.982323737341,273.891218157974,316.553937263595,351.756830702982,340.261808805879,176.850895936795,383.972985279971,339.996238518088,340.385334133468,285.495555850185,322.477576024497,320.444523624313,188.904328101543,260.291454201091,183.552849756874,152.733189263694,103.627026608938,146.446114737081,185.064297501284,201.982364751512,282.018752105304,179.499948149073,145.98781403445,353.323965877517,313.885282060101,277.207690311014,142.617303111587,121.31853630079,119.472337781148,128.598743545192,96.374009186262,84.2421526783738,191.745428828218,214.737244848587,188.493074736836,260.350586398038,271.21308811666,459.181746891343,362.692583078333,184.292488255217,270.544001959819,332.172026795555,336.54092848924,354.17592778077,250.017466889569,255.632978278824,222.857482976208,166.427274809142,185.97846276259,136.595555294904,145.190073027444,144.601973237215,136.451583409647,150.828559867577,197.711649236959,140.991323547917,84.4160468425903,112.721478536785,131.526480183457,217.724216225028,132.367264605664,131.5527892023
"Lsat_1_v5_gn_0_11160",845.806980477649,910.789156566391,915.153853377462,837.476475858021,824.112899902258,829.862873681077,868.318886629566,817.942380570799,786.918227745353,825.855199789311,754.688309448102,819.463135230279,921.05351694005,1050.41658520701,828.404028543722,580.738916723442,702.443142724872,578.218847291514,595.417934045231,596.227789600638,772.450371345913,609.709943303723,711.267292807885,808.269444068043,685.912223744877,881.38865351021,714.763638818735,743.792878729503,664.5901512008,742.279978819356,798.329757828026,839.020009111963,916.545023615496,854.723711792294,691.76056369078,723.997716633747,994.00985033915,713.515609347514,731.524622109056,942.659024907373,921.468553705276,814.84469678235,1016.11498566745,1008.7347815194,931.624619067396,1045.91397903028,839.274141519428,1086.35572024128,1085.13277288802,704.607329566329,682.456256100743,839.605287621472,898.210899566229,769.697836058503,887.023145518299,926.153185429121,853.686504680961,876.909737695681,760.696707400199,886.538799271091,1038.70286962854,1055.79991907304,851.494342112546,914.598166889366,754.208943101831,1030.18870257669,1012.29584499407,817.30321167549,657.323802644034,879.373007016718
"Lsat_1_v5_gn_0_11181",1314.16540368092,845.197344879511,953.760535590893,1358.13633768178,1612.23430697564,1141.96034957153,1200.96622988873,1217.37302986976,806.064656644266,906.349947110547,1304.02429893832,1073.50973518243,801.114488548706,1118.43616056731,702.985716768858,495.211912624172,875.822938388361,522.203896460148,428.35123803254,664.336207513819,492.834558957986,473.993776521831,554.830204946913,720.414069712821,1152.2338434851,965.459571229646,604.291583677663,981.193951991944,990.600686364313,899.234039761299,1061.3708641964,930.585656606982,1092.32078156915,898.03741340339,803.721810993334,847.925253715199,1290.3012480364,1410.43783243113,1153.73456711554,1993.0200424795,1324.95182574191,897.269093794939,1313.2100306169,1223.54876345238,1141.54661382436,1191.02879339394,933.013528933393,1641.38865270582,895.160618506395,796.114774964554,580.275305668077,670.850874972987,786.166034774978,660.540688399297,884.50498186885,829.800552644881,493.52333533097,500.007186974557,691.204022874243,769.191648214713,1045.66468510862,1213.38199654662,858.772071532312,1113.16709900659,1378.33414188885,1251.35109717418,916.104837098707,931.189724777813,1812.52902102073,1466.50458298672
"Lsat_1_v5_gn_0_12501",149.59851355387,94.6396140053555,122.839443406371,98.237709778067,103.360184534214,148.138433256761,143.678664694101,179.362170545074,165.616609975603,169.352585273251,188.30140530434,161.547581508036,198.16013386396,146.727941134374,118.343432649103,200.618898504462,206.525933069745,181.596856727491,250.600044019037,72.5745436779802,206.672556982381,170.15161208476,146.00794867024,121.645902953384,164.076125464152,147.802097280943,90.6437375516494,258.460845890561,122.548538519296,177.76564913314,161.770280416552,271.711106153696,315.140823188342,157.373115853649,59.9792396263682,60.0070179552294,107.525104003033,129.98152573385,137.677155980374,164.218879904678,188.110444395456,180.032235580129,98.6155821470865,119.781068266778,134.074266724337,168.53391985174,263.696781416856,120.70619113792,140.446339815206,177.524444072556,130.304147799455,83.3355124190046,225.941710818722,115.687917177278,207.748501079516,162.33958735769,127.916893900123,144.184197255732,67.0108029357435,241.508007657966,145.501943533756,162.084422544261,124.934355039305,155.754812924662,130.083744314811,132.697436758493,143.304970946155,63.642463204239,46.6293773042679,66.2178469139095
"Lsat_1_v5_gn_0_12601",687.002404551233,697.147255643411,715.10104554423,1484.61738902104,1379.67389177366,1310.23410385349,2025.55682726358,2064.57306946564,1555.64734803674,2274.76065157157,1853.36028842854,1783.53741197178,2193.45016596127,1469.2228277826,1950.73712622136,1236.44594815118,1208.55916388962,1220.58384795443,1206.37695609164,522.536714481458,1031.49244502971,741.374881226453,522.499873455646,521.725761555627,962.250961368712,779.689962720571,565.579154098312,1625.43154193397,1251.40911449512,1876.51153523959,1238.92361099506,2453.36218560023,2232.35212601144,1826.39441793455,643.777171989685,430.485128809255,641.566453884764,1067.50784964396,1358.41460567303,1376.66606465545,1458.53750364593,1567.50958529205,1605.31188153358,1811.56491676202,1896.95933948263,1803.68932089468,1640.87731426502,1614.44530646968,1351.98081853691,1144.75814193179,1099.61701704145,738.560978813428,884.321040294586,608.29453225472,501.114566240288,603.225876764365,520.739695735252,390.393469762596,368.559416146589,755.564237124295,666.245741444041,981.511225406917,936.401185343142,1073.30567768938,1126.46987098145,1251.35109717418,677.917579453043,872.571666563382,290.305478055603,199.536445367247
"Lsat_1_v5_gn_0_13600",5.75378898284115,48.7253458245395,33.3421346388721,51.5747976334852,72.90584444824,46.0235909147218,29.6727677085643,49.6108131294886,33.506250573099,18.8169539192501,18.5336028842854,20.8448492268433,35.1994974626771,14.5756232914941,23.1541498661289,10.5588893949717,10.198811509617,16.2624050800738,17.4837240013282,43.5447262067881,34.6012878205796,30.3842164437071,64.660662982535,16.2194537271179,18.5048261801675,12.2038428947568,60.4291583677662,48.8203820015504,279.662049441471,51.1618209700257,28.9345217005216,279.673336370654,105.465454772194,18.7692706981416,69.3093435682477,22.1765066356283,28.6733610674755,53.928505357661,44.0566899137198,27.7252654384521,68.1559581142956,104.115027805376,63.6632239177394,146.509075235398,30.6455466798486,171.879506350038,59.5726948051368,54.9644263217313,62.8312572857503,53.0743183309703,124.679508326097,204.172005426561,51.8554746141328,134.347258657484,57.9177639373197,130.222043096276,86.1851412802245,80.1023318087401,148.912895412763,68.8941338460028,42.4670744285125,85.5445563428047,181.943235494134,86.3664128539595,107.941830388886,109.867770219398,140.687528554444,199.301397929064,141.392305374232,51.20846828009
"Lsat_1_v5_gn_0_15201",600.695569808616,700.895359168375,661.578145202883,555.043060246079,583.24675558592,606.936105187893,665.294686518337,473.21083292743,525.569473275181,603.187911744851,623.470401027362,698.302449099252,551.458793581941,617.034719339916,694.624495983867,863.717152508684,829.928286595085,818.541055697049,841.161388063899,1118.7645040821,725.691874291076,936.846673680969,877.090605940516,554.164669009862,605.724643630817,659.007516316865,812.016815566859,594.45994554829,589.961233512767,828.994929616009,753.612769745402,807.171088244131,749.558053559522,864.830242168216,719.750875516418,633.987189700902,713.249856553453,529.605578256004,536.94090832346,627.017541454225,638.848514057997,433.812615855732,786.42806016031,792.93087340239,745.452922987316,512.711130864104,489.722594059875,570.121206356782,702.970890338218,868.405656829152,878.381197756039,843.772063242422,554.668380247599,974.950592340771,595.545703094613,652.278126181796,594.223868826811,503.379916734925,725.950365137221,550.39599237411,612.639762247394,423.220436643349,494.885600544044,572.823387817715,561.851065870355,537.924017827441,594.813783516232,584.505780481037,395.597620355563,357.576373335111
"Lsat_1_v5_gn_0_15220",182.970489654348,133.994701017483,162.323550215561,184.195705833876,189.18605204923,161.082568201526,273.30180784204,240.421632858291,250.818218575769,270.755059171432,318.036625494338,310.067132249295,286.810720066258,291.512465829881,265.629552630868,227.016121991891,261.344544933936,207.797398245388,207.86205201579,228.888945445938,201.996707276897,183.318105877033,205.45404205741,210.852898452533,189.982882116387,195.261486316108,159.570746314883,189.537953653078,172.039294459782,234.130367150965,198.596035308125,287.635566587613,288.774459495293,256.994629559169,135.952943153101,127.841038252445,164.871826137984,153.488822941035,146.855633045733,236.731112589861,247.178941427845,234.981833588522,237.176716556284,264.31029113413,327.141210807383,279.356472607848,290.854921695668,259.733857716417,224.71414370433,291.908750820336,211.861420163143,192.713372468948,225.941710818722,172.598908691907,241.743710347074,224.822809829894,153.318830277452,144.184197255732,138.985369051912,211.224871901481,192.842288798327,238.624288745718,128.573219749188,139.514974610242,174.367572166662,273.955998469148,187.801491605235,224.423422878106,145.904825758516,182.76125748239
"Lsat_1_v5_gn_0_15241",2237.07315652864,1744.74219087101,1794.33329832877,2317.18197939016,1984.14639954071,2157.35582412758,1883.43988718571,1789.80548905617,1569.04984826598,1718.61512462484,1746.60673581506,1627.20104277046,1669.36875929474,1611.09222781981,1448.42070829228,1299.79928452101,1199.6352038187,1096.80887595609,1190.83586809046,1048.42302328651,1289.59934877241,1129.28004449111,1211.865973963,1459.75083544061,1614.85449798929,1608.19529702017,1104.72055141073,1410.04750369184,1343.3205183846,1368.36192357119,1441.46526289871,1448.13062070926,1740.1800037412,1433.68352332728,1579.45331016103,1638.45249025583,1823.14787454032,2300.94956192687,2496.54576177745,2262.8082023229,1810.22224751569,1768.50943063853,1939.85588172876,1657.13643205443,1818.81319544901,1653.13792847129,1621.60379535747,1952.85373519563,1716.40211079426,1222.53947052028,1115.55349554929,1088.57013097325,1315.83266833362,1267.90225358001,1607.21794926062,1510.69249098685,1639.33210835122,1625.65574449738,1749.72652109997,1636.04640924409,1736.27678073296,1958.52010574316,1852.18213733028,1843.22164868664,2717.91993440733,2696.75435993067,2563.78482268053,2904.10608410922,5559.42511343787,4636.13218859918
"Lsat_1_v5_gn_0_15420",8809.0509327298,6860.90350244765,6868.47973560765,5991.27232508986,7367.18172443418,5476.80731885189,6393.70057888749,12327.6510266122,5972.72849501612,6336.08653914305,12325.5872621652,5923.84558965354,7792.12579016374,6046.94024953117,4810.91780551789,5521.24326463069,5699.86078243721,5080.19465362528,4549.65351234562,5741.20467064884,4502.84326638084,5602.84951221959,7307.69783094553,5905.23277781485,8079.20711026115,7699.26888404765,6206.26340548949,7737.55191604964,5381.9233166391,7500.84324391054,5504.1351507583,10366.8237424795,7557.102050879,5586.02371777768,5821.9848597328,5628.91918427859,6347.56530631238,6879.34138857342,5141.78285201371,7331.19999574456,10620.5157664236,12955.8137725314,6120.40758566032,5479.24142856708,4894.09380477182,13271.1052421219,13947.8952057733,6277.79967302128,5090.07103140796,6381.72924207218,5829.00137422311,5378.26563274151,8435.77453097768,6317.12005812379,8421.99832558112,8001.35620854339,5954.93965645678,7557.4442105446,8748.63260549984,6803.1064476943,8097.28758488573,8754.80998992546,7158.85983924252,7551.52481620518,10700.0799047034,9775.37784120902,10446.8669459149,9527.94666233988,10536.7350973031,10486.2582372867
